HostName,IPAddress,Models,Vendors
SHBRKHM-R30C-C-EG,10.45.10.204,ASR9010,Cisco
SHBRMSR-R30C-C-EG,10.45.10.205,ASR9010,Cisco
NASR1-R30J-C-EG,10.45.10.200,MX960,Juniper
6OCT2-R31J-GZ-EG,10.45.10.202,MX960,Juniper
BLQDK_1-R30C-GZ-EG,10.45.10.221,ASR9010,Cisco
PTSAID-R31C-PTS-EG,10.45.10.231,ASR9010,Cisco
DMNHRE1-R34C-BH-EG,10.45.10.28,ASR9010,Cisco
ISMLIA-R34C-IS-EG,10.45.10.30,ASR9010,Cisco
MQATM2_A-R32C-C-EG,10.45.10.32,ASR9010,Cisco
10RAM1-R30C-SHR-EG,10.45.10.243,CRS14S,Cisco
SUEZ-R34C-SUZ-EG,10.45.10.29,ASR9010,Cisco
KOBBA-R34C-C-EG,10.45.10.33,ASR9010,Cisco
RODA-R40J-C-EG,10.45.10.40,mx2020,Juniper
GIZA-R34C-GZ-EG,10.45.10.34,ASR9010,Cisco
RODA-R41J-C-EG,10.45.10.41,mx2020,Juniper
BNHAEST-R31J-KB-EG,10.45.10.50,MX960,Juniper
BNHAEST-R32J-KB-EG,10.45.10.51,MX960,Juniper
MARS-R01J-MR-FR,10.45.10.52,MX960,Juniper
MDENTY-R30C-C-EG,10.45.10.74,ASR9010,Cisco
KFRSHK-R31J-KFS-EG,10.45.10.68,MX960,Juniper
BRGARB-R30J-ALX-EG,10.45.10.75,MX480,Juniper
KFRSHK-R32J-KFS-EG,10.45.10.69,MX960,Juniper
GIZA-R33J-GZ-EG,10.45.10.89,MX960,Juniper
6OCT2-R33J-GZ-EG,10.45.10.90,mx2020,Juniper
MHNDSN-R09C-GZ-EG,10.45.10.98,ASR9010,Cisco
FERSIES-R01J-GH-EG,10.45.2.1,mx104,Juniper
MHLTLBN-R01J-GH-EG,10.45.2.102,mx104,Juniper
MATRIA-R02J-C-EG,10.45.10.97,mx104,Juniper
SHARNUB-R01J-BH-EG,10.45.2.103,mx104,Juniper
DLNGAT-R01J-BH-EG,10.45.2.110,mx104,Juniper
SHOBAR-R01J-GH-EG,10.45.2.105,mx104,Juniper
SHBRNK-R01J-SHR-EG,10.45.2.111,mx104,Juniper
NASR4-R03J-C-EG,10.45.2.12,mx104,Juniper
AATTWAH-R01J-IS-EG,10.45.2.112,mx104,Juniper
MNLARS-R01J-MNF-EG,10.45.2.104,mx104,Juniper
IBRHIM-R01J-ALX-EG,10.45.2.106,mx104,Juniper
MNSURIA-R01J-ASN-EG,10.45.2.109,mx104,Juniper
BNAWET-R01J-SHG-EG,10.45.2.133,mx104,Juniper
HEGR-R01J-FYM-EG,10.45.2.13,mx104,Juniper
KHAYAM-R01J-SHG-EG,10.45.2.136,mx104,Juniper
TEMA-R02J-SHG-EG,10.45.2.137,mx104,Juniper
DEMOH-R01J-FYM-EG,10.45.2.14,mx104,Juniper
